,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
PTGER1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PTGER2,25.66,42.66,20,20,20,20,20,20.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.83,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PTGER3,26.83,28.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.66,20,20,20,20,36.19,20,20,20,20,20,20,20,22.11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.84,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.1,20,20,20,20,20,20,20,20,20,20,20,20,20,32.92,20,20,20,20,20,20,20,20,20,20,20,20,22.87,37.71,20,20,20,20,20.04,20.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PTGER4,97.98,125.22,167.16,123.98,182.79,115.44,110.13,133.45,111.38,113.79,117.29,164.65,177.62,281.8,113.12,87.32,114.52,64.81,93.13,66.19,97.69,111.74,139.71,96.16,105.31,83.06,105.38,121.04,107.24,99.06,149.94,129.47,137.74,131.54,118.53,127.9,136.87,125.47,132.89,82.51,90.65,112.59,38.15,79.63,20,78,67.86,93.57,102.3,106.58,96.35,143.34,158.4,125.35,137.65,90.54,102.89,104.73,91.05,85.59,145,99.99,90.38,94.95,169.99,111.91,123.43,138.11,95.85,124.41,104.27,148.26,158.74,177.3,135.58,85.89,127.11,123.44,122.5,110.42,124.56,140.91,101.86,114.8,103.6,137.21,145.87,194.14,190.37,118.41,149.76,154.59,253.72,164.79,105.69,99.43,79.95,111.58,97.95,133.64,71.35,86.25,80.1,106.66,102.15,101.69,67.92,69.37,20,90.89,99.34,92.09,133.78,141.1,154.07,120.06,129.55,109.27,78.58,59.81,77.33,104.55,85.12,90.72,67.68,73.24,75.34,132.38,86.18,84.77
PTGFR,43.16,56.42,25.72,20,20,20,20,35.69,34.92,20,38.51,44.03,20,20,46.66,38.62,20,33.61,20,20,20,20,20,55.47,33.89,49.08,33.92,20,38.88,20,42.09,43.16,23.42,20,20,38.05,32.64,29.92,39.51,20,20,29.41,36.34,36,20,31.2,20,37.25,37.97,20,42.26,29.51,20,20,34.67,30.57,33.88,31.82,24.73,20,29.34,20,22.15,39.1,20,27.98,20,20,20,20,24.06,25.56,20,20,20,20,20,20,20.08,20,20,20,20,20,20,20,20,20,28.28,20,20,20,20,20,20,34.29,20,20,37.45,24.79,20,20,22.5,20,20,20,23.77,20,46.89,20,20,20,26.96,21.08,20.8,20,20,38.65,20,20,20,20,20,75.2,20,20,20,20,20,20
PTGIR,50.16,44.03,34.72,51.81,29.61,20,20,36.47,27.37,28.01,20,20,20,20,46.66,45.34,26.63,31.21,20,20,24.08,20,20,45.61,31.47,49.08,30.28,26.03,40.22,36.58,36.83,52.97,20,20,20,35.94,37.9,26.06,20,20,20,29.41,43.6,44.72,72.57,20,20,46.33,26.37,22.21,47.33,29.51,20,20,33.65,41.15,35.13,47.73,31.47,20,23.7,35.59,32.79,20,23.18,35.97,20,20,20,20.15,27.07,20,20,20,23.79,20,20,23.21,20,20,20,20,23.84,20,20,23.22,20,20,20,20,20,20,20,20,20,20,20,20,20,28.02,20,20,20,20,20,23.99,22.64,20,20,27.54,22.66,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PTGS1,27.99,30.27,36,20,23.49,26.55,20,20,20,20,20,20,20,20,33.93,33.58,29.3,25.2,20,24.82,20,22.15,20,20,20,20,49.66,31.24,26.81,20,20,20,27.17,20,20,23.25,28.43,20,26.34,31.22,20,20.17,20,20,20,20,20,20,20,20,20,28.46,20,20,20,20,20,27.84,60.7,20,20.31,20,20,39.1,38.63,34.64,20,20,20,21.9,20,20,20,26.86,20,20,20.88,20,36.15,20,25.92,20,20,31.63,20,20,20,37.91,20,20,34.79,20,48.79,31.13,20,36,24.68,34.23,26.65,20,20,20,20.7,26.97,34.3,20,20,20,20,31.67,29.63,20.83,20,20,20,20,20,20,42.86,41.12,30.76,20,39.72,20,20,20,20,20,24.84,20
PTGS2,201.8,68.8,57.86,66.62,212.4,34.63,41.97,40.34,20,70.02,50.77,84.24,37.14,32.34,79.18,83.96,58.59,54.01,60.89,22.98,55.73,20,20,64.1,136.79,64.18,79.94,35.14,100.54,67.06,84.18,82.39,390.73,41.54,34.04,61.31,35.8,79.14,71.83,83.62,20,27.73,138.08,80.72,86.39,79.2,47.64,39.97,20,22.21,59.17,31.62,39.6,26.45,62.2,39.98,57.72,47.73,35.97,26.05,37.8,55.92,40.76,48.41,30.91,20,36.13,20,63.9,70.97,63.17,62.63,46.56,42.98,80.87,20,23.61,20,57.23,20,21.5,40.5,49.85,67.94,41.14,40.11,44.77,67.78,20.69,63.26,48.41,20,178.9,20,86.86,49.72,35.54,120.45,20,20,27.81,27.85,47.7,24.52,20,22.85,43.02,29.48,20,99.15,23.53,20,47.7,38.11,27.41,46.05,29.44,20,75,20,38.67,41.19,48.24,26.26,47.08,20.14,20,32.69,28.73,25.58
PTK2,43.16,63.3,55.29,48.11,53.1,54.26,43.22,47.33,64.18,56.89,68.27,63.18,20,20,70.7,60.45,57.26,72.01,51.94,29.42,39.9,46.24,57.23,55.47,67.79,77.4,58.14,39.05,72.39,60.96,69.71,86.31,33.73,70.96,35.64,47.56,52.64,57.91,67.04,41.25,20,50.41,52.69,50.18,20,24,20,45.42,42.19,39.97,45.64,25.29,43.37,57.12,43.84,38.8,41.41,67.61,41.59,26.05,42.88,52.53,42.53,81.92,51.88,73.28,51.78,56.92,114.29,99.88,118.31,94.58,65.61,62.68,159.37,159.5,207.01,161.42,177.73,63.6,100.53,165.37,136.54,97.23,89.89,127.71,70.77,56.29,31.73,94.08,116.48,105.93,82.95,43.03,123.06,144.01,109.57,134.4,36.73,29.1,87.07,89.84,111.6,85.82,64.79,28.57,100.75,100.59,98.25,77.12,47.06,43.31,113.04,107.85,157.85,106.9,98.63,35.98,146.44,134.58,107.21,77.62,102.15,31.04,100.04,104.37,125.57,91.52,65.22,37.27
PTPN2,89.82,97.7,111.87,218.36,140.92,162.78,244.36,82.24,85.89,127.79,131.29,107.22,124.33,233.97,98.98,102.43,79.9,122.42,150.44,116.76,124.52,107.88,105.37,88.76,297.78,158.57,121.13,187.42,92.5,124.97,145.99,119.66,156.48,148.85,184.61,68.7,141.08,196.89,174.79,205.15,173.84,61.34,367,353.42,165.87,169.19,166.03,75.4,129.72,200.96,170.73,126.47,169.71,169.05,78.51,150.5,208.29,114.01,102.29,126.53,73.34,57.62,111.65,111.71,79.48,83.94,96.94,91.34,81.11,80.61,116.31,131.64,113.23,116.41,82.06,20,79.9,78.07,69.28,81.92,65.76,65.81,50.93,64.43,71.61,101.32,134.32,114.88,137.95,82.73,90.76,104.49,165.89,95.21,62.25,89.15,80.94,128.06,98.67,135.79,50.79,77.26,86.4,100.53,86.14,109.69,76.98,65.91,91.55,107.41,113.29,98.67,91.26,77.04,86.96,113.48,85.38,70.63,89.29,91.59,108.97,118.81,103.56,112.21,69.15,92.47,81.62,104.6,90.06,122.04
PTPN22,100.31,99.07,138.87,96.23,105.18,108.52,122.18,120.26,91.56,70.02,64.77,47.86,124.33,122.83,172.5,174.63,149.15,84.01,51.94,96.53,94.25,144.49,224.56,135.61,83.52,90.61,60.56,106.72,128.69,57.91,71.02,78.47,95.57,90,103.72,87.73,87.39,71.42,56.27,99.23,119.21,86.54,45.42,50.18,20,78,76.52,90.84,52.73,47.74,72.69,98.02,73.54,116.53,81.57,44.68,43.92,63.63,65.2,133.97,97.6,64.4,58.48,59.58,60.71,97.26,126.44,166.8,77.42,76.23,108.28,95.85,146.04,164.77,59.47,20,39.04,30.6,58.24,118.05,42.99,60.75,23.84,43.34,45.71,48.55,30.33,64.33,152.44,94.08,81.69,124.53,99.21,105.28,60.81,54.86,42.45,55.79,113.79,94.84,73.77,70.97,72,100.53,84.61,97.12,49.81,43.36,44.66,86.76,106.32,109.09,72.59,64.06,52.93,46.05,125.13,133.26,58.93,87.85,98.42,83.96,96.47,151.6,102.99,77.82,72.83,83.35,104.81,108.88
PTPN6,109.65,99.07,106.72,142.49,82.71,100.44,176.62,96.21,110.43,119.04,143.54,80.41,113.03,91.52,114.53,124.26,110.53,100.82,137.91,91.02,154.1,125.7,125.9,119.58,121.05,118.93,70.25,78.09,100.54,105.16,136.79,96.12,94.64,143.66,115.33,107.81,128.45,113.89,125.71,124.87,124.17,77.3,132.63,135.26,127.86,97.19,88.07,94.48,125.51,96.59,106.5,73.78,109.37,152.57,97.89,114.05,117.95,102.08,75.31,74.43,91.96,101.68,91.27,139.64,52.98,77.27,114.4,96.64,70.05,49.94,62.16,54.96,94.19,80.59,67.79,20,52.66,46.42,62.25,41.72,41.73,65.81,95.36,41,53.33,46.44,62.11,72.37,52.42,68.13,68.07,42.94,63.43,67.75,60.81,73.72,45.41,62.13,48.97,86.22,38.7,45.82,56.7,57.62,57.17,76.56,48.68,45.96,69.22,71.61,78.43,71.81,69.48,54.33,57.66,85.52,104.52,69.3,46.43,42.99,36.91,44.35,65.26,47.75,45.61,32.04,37.67,53.93,31.06,33.61
PTPRC,2303.73,1538.36,2072.75,2111.41,1801.32,1752.45,2376.23,1322.85,1185.52,1810.96,1605.25,1146.82,1525.92,1375.61,1324.87,1568.34,1631.31,1295.02,1794.56,1328.49,1486.7,1664.95,1930.27,1677.8,2457.33,1429.06,961.75,1347.07,1642.18,1534.67,1811.11,1408.5,1829.01,1767.15,1518.91,1351.89,1417.12,1766.22,1546.81,1728.18,1175.92,1217.48,1825.9,2301.6,1288.96,1616.32,1299.38,1173.69,1370.01,1607.65,1435.18,1398.59,1872.51,1740.72,1246.01,1296.9,1717.77,1226.27,971.21,1028.34,1329.79,947.32,1303.46,1351.69,1150.2,944.62,1820.78,1865.65,1247.34,1347.54,1545.05,1789.29,1710.16,1909.13,1150.06,687.09,950.61,891.52,796.26,1289.88,718.25,917.99,974.2,918.39,847.11,1085.01,1324.43,1499.16,1958.9,1124.11,1128.48,1440.02,2032.99,1371.4,1025,1206.9,879.5,1550.68,1346.75,1193.05,949.28,1119.41,1206.03,1238.25,1164.76,1093.48,808.27,835.96,444.37,1430.77,1165.11,1184.6,1095.12,1229.35,1031.25,1164.42,1338.18,894.18,1175.08,1044.87,1325.18,1313.21,1198.79,999.13,1103.43,1161.77,1206.69,1477.41,1506.98,1530.94
PYCARD,160.97,195.39,176.16,273.87,188.91,274.76,285.5,116.38,142.53,236.33,383.37,170.4,176.01,97.37,121.6,159.52,143.82,194.43,315.21,168.25,359.12,208.06,156.28,89.99,279.63,194.44,119.92,141.87,140.76,242.32,310.4,280.52,239.87,448.28,492.96,115.21,157.93,193.03,252.61,374.62,357.62,70.58,308.86,343.6,317.92,218.39,503.87,138.99,247.85,242.04,251.87,116.99,397.88,273.7,99.93,228.1,276.05,213.44,132.64,305.15,126.94,155.91,178.11,208.52,93.83,118.58,175.21,144.73,81.11,90.24,129.34,221.11,249.75,398.48,107.04,89.98,78.08,133.99,120.49,217.78,70.81,70.03,78.02,56.23,88.37,111.88,218.09,159.68,252.45,90.84,108.92,131.69,177.28,270.07,57.91,162.86,120.43,183.85,262.87,270.51,68.93,78.16,86.4,175.32,245.45,250.23,73.58,79.78,113.88,216.2,255.33,276.83,59.11,60.82,55.77,123.35,103.05,221.21,64.29,112.15,108.97,209.1,137.61,256.65,64.73,83.31,101.71,215.73,128.88,243.34
RAC1,115.48,104.58,144.01,133.24,120.5,137.38,158.75,103.19,113.27,155.8,173.3,141.68,101.73,142.45,113.12,136.01,111.86,105.62,161.19,109.41,155.48,102.58,119.19,108.48,157.37,132.15,96.9,114.53,119.31,147.83,153.88,94.16,135.86,128.08,148.97,84.56,122.13,137.05,130.5,147.17,89.41,86.54,138.08,159.26,158.96,103.19,153.04,93.57,126.56,134.34,140.31,95.91,135.77,146.43,95.85,112.88,117.95,128.59,120.28,114.12,108.32,93.21,112.54,147.08,91.62,147.89,112.59,112.52,137.64,174.36,168.44,182.76,154.51,202.38,135.58,110.43,144.36,135.05,122.5,152.14,187.15,118.97,114.87,142.91,135.6,122.43,154.54,150.49,111.05,113.55,142.2,146.01,82.95,137.32,198.34,277.72,176.69,186.39,159.88,127.17,119.72,121.28,144,154.48,160.84,114.26,182.26,198.58,160.78,147.35,170.8,181.99,158.67,164.62,159.75,131.57,226.71,106.61,189.3,207.48,210.9,150.49,177.34,89.53,151.54,125.42,138.12,179.77,76.86,63.58
RAF1,109.65,63.3,70.72,125.83,61.27,62.34,79.37,46.55,38.7,62.14,63.02,55.52,32.29,28.9,70.7,75.56,101.21,54.01,109.25,58.84,83.93,47.68,50.12,83.83,84.74,60.41,48.45,53.36,77.75,53.34,65.76,102.01,57.16,109.04,48.45,71.88,73.7,82.04,63.45,46.83,42.22,57.13,58.14,66.54,89.85,67.2,46.2,59.05,61.17,64.39,45.64,43.21,90.51,70.15,72.39,56.44,65.25,38.45,43.84,39.69,54.16,76.26,49.62,70.75,27.6,20,64.43,48.54,68.82,30.67,56.15,70.29,58.2,53.73,47.57,20,32.69,26.38,38.16,46.3,30.35,28.69,42.26,36.31,20,31.66,50.55,45.95,42.76,48.66,37.82,31.49,66.68,41.2,33.3,53.14,28.63,55.79,64.82,56.04,48.37,44.92,54.9,29.42,50.31,62.84,33.96,26.88,20,53.71,47.06,42.21,46.67,28.38,30.25,32.89,47.11,43.98,20,20,31.64,49.11,39.72,52.52,44.14,32.04,31.39,44.13,31.06,26.31
RAG1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
RAG2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,37,20,20,20,20,20,20
RAPGEF2,26.83,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.98,20,20,20,20,20,54.91,20,20,20,20,20,20
RARRES3,102.65,180.25,243.02,542.19,811.82,562.21,565.59,162.16,225.59,382.5,1052.08,846.23,671.73,576.32,113.12,112.5,97.21,438.07,712.81,692.29,127.27,219.14,180.36,162.73,791.67,653.18,466.34,609.11,93.84,277.37,338.02,390.38,453.5,439.62,227.46,71.88,136.87,251.9,413.04,442.64,489.24,110.07,1126.43,1258.79,1247.49,1082.34,616.49,128.09,526.28,746.09,791.12,443.71,314.91,236.9,139.69,703.12,1212.1,1084.42,556.42,362.21,125.25,127.1,289.76,595.78,277.06,251.81,219.17,161.94,61.45,148.07,186.49,370.64,401.08,286.55,93.96,130.88,103.5,280.64,212.87,246.78,85.99,102.09,89.94,74.97,105.13,124.54,231.09,264.22,384.88,105.44,158.83,191.81,409.85,278.31,88.31,145.72,118.45,252.32,336.33,243.57,84.65,125.78,150.3,281.98,360.56,362.21,86.03,139.62,160.78,309.84,350.32,373.85,119.26,142.72,171.09,245.05,234.07,327.82,107.15,108.41,128.3,351.67,273.81,317.53,88.27,130,158.21,338.3,451.86,388.76
RELA,24.5,20,20,20,20,20,20,20,20.77,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,20,20,20,20,20,20,20,20,20,20,20,20,20,26.51,20,20,20,20,20,20,20,20,20,20,24.58,20,20,28.12,29.63,25.97,20,20,20,20,20.08,20,20,20,27.09,20,20,20,30.33,29.87,20,20,20,20,20,32.04,28.95,36,20,26.63,28.81,30.18,20,20,26.1,25.75,26.68,37.71,20,21.68,20,30.3,31.37,20,31.11,20,21.74,20,20,20,20,20,22.85,33.27,32.63,27.46,30.9,25.63,20,20,20,20
RELB,27.99,20,20,20,20.42,20,20,23.28,20,22.76,40.26,20,35.52,67.44,33.93,20,20,20,20,24.82,27.52,23.12,20,28.35,20,20,27.86,33.84,20,20,30.25,20,21.55,20,20,24.31,23.16,21.23,35.92,32.33,28.56,20,20,26.18,20,26.4,20,20,27.42,20,20,20,20,31.43,25.49,20,20,31.82,23.61,20,20,20,20,20,20,20,20,20,20,20,20,20,23.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.45,20,20,20,20,20.14,20,20,20,20,20,25.87,20,20,20,20,20,28.57,20,20,20,20,20.04,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.19,20
REPS1,53.66,66.05,75.86,85.12,58.21,51.95,46.13,58.97,57.58,51.64,66.52,78.5,46.83,82.58,76.35,72.2,67.92,54.01,46.57,46.89,35.09,37.57,61.57,80.13,61.74,81.17,53.3,48.16,60.32,57.91,40.77,20,43.1,57.12,42.05,62.36,62.12,49.22,65.85,53.52,49.67,59.66,47.24,46.9,72.57,54,50.53,74.49,53.79,46.63,64.24,72.72,79.2,52.9,68.32,57.61,35.13,71.59,50.58,47.14,55.29,40.67,49.62,78.2,60.71,69.28,41.55,65.75,44.24,61.33,51.13,69.02,61.38,59.1,53.52,20,51.75,68.58,44.18,49.36,44.89,38.81,39.01,39.83,20,49.61,54.88,48.25,65.53,37.31,54.46,62.98,65.06,61.34,81.07,68.57,44.42,65.93,92.9,62.51,48.37,53.01,47.7,46.59,63.27,84.55,41.88,56.37,20,48.2,56.64,57.56,60.15,65.68,49.15,52.63,60.36,74.63,73.22,54.21,64.15,53.86,70.93,90.72,57.38,57.68,64.04,58.83,54.35,57
RHOA,177.3,163.74,201.87,192.45,183.81,139.69,281.34,133.45,149.13,202.19,173.3,124.45,156.63,307.26,193.71,216.61,197.09,166.83,137.91,136.99,258.68,223.95,207.2,163.96,180.37,156.69,155.04,160.09,147.46,163.07,172.3,180.48,203.33,186.93,246.28,112.04,140.03,183.38,140.07,172.82,197.44,130.23,143.53,185.44,165.87,185.99,157.37,125.36,168.75,197.63,138.62,160.2,201.77,251.47,135.61,129.34,179.43,141.85,130.39,142.65,141.05,103.38,135.57,173.15,144.6,129.24,186.65,176.95,157.3,162.97,182.48,210.88,229.64,284.76,139.15,184.04,147.09,171.97,163.67,256.45,180.83,152.72,171.22,144.08,143.22,159.37,167.54,196.44,202.1,154.1,183.04,131.69,237.45,242.6,121.61,178.29,125.36,183.85,234.78,273.74,143.9,146.44,146.7,185.13,218.77,251.38,134.71,160.43,118.35,155.61,242.26,245.58,156.59,144.34,115.32,172.69,185.49,202.56,196.44,211.22,162.57,207.52,251.11,177.86,148.6,159.3,169.51,236.97,257.76,334.69
RIPK1,59.49,72.93,104.15,86.97,50.04,76.19,76.88,35.69,49.08,82.28,80.52,78.5,51.67,70.88,48.07,68.85,57.26,54.01,98.5,46.89,61.92,54.9,61.17,54.24,102.89,71.74,53.3,68.98,42.9,71.63,64.45,78.47,46.85,64.04,60.87,40.17,90.54,80.11,76.62,101.46,34.77,47.05,119.91,77.45,114.04,68.4,62.08,48.15,81.21,67.73,72.69,47.43,62.23,69.77,34.67,83.48,90.34,55.68,39.34,40.94,37.24,59.31,69.12,72.61,38.63,35.97,45.16,42.36,31.95,48.19,44.12,46.01,42.33,51.04,39.25,20,26.33,30.6,20,34.6,21.5,29.53,20,30.46,35.04,25.33,43.33,47.1,46.9,32.44,51.43,40.08,42.29,37.54,20,60,34.55,50.72,36.01,42.03,29.02,41.33,50.4,49.04,33.54,43.42,30.56,27.75,53.59,49.57,27.01,41.66,29.04,34.87,26.47,44.41,45.64,38.65,37.5,20,43.94,38.02,29.79,20,20,34.79,26.37,34.32,36.49,37.27
RIPK2,59.49,82.56,105.44,136.94,93.95,81.97,85.61,27.93,45.31,71.77,94.53,65.09,37.14,69.5,33.93,55.41,45.28,61.21,109.25,34.02,33.71,33.23,38.28,53.01,193.68,94.39,52.08,71.58,20,106.68,107.85,82.39,75.9,90,37.64,40.17,84.23,122.57,82.61,104.81,50.91,29.41,147.16,181.07,79.48,95.99,54.86,35.43,81.21,82.16,79.45,25.29,41.49,52.13,25.49,107,99.13,70.26,46.09,32.25,38.36,55.92,114.31,52.13,36.43,35.97,39.74,44.57,28.26,43.81,51.13,66.46,58.2,51.04,38.06,20,33.59,50.64,63.26,37.65,20.86,28.69,20,23.43,32,27.44,39,78.12,57.94,20,48.41,54.39,87.83,37.54,20,66.86,62.19,58.32,46.09,45.26,26.6,37.73,50.4,58.85,64.79,55.99,29.43,38.16,20,77.12,54.03,43.31,38.37,47.03,51.99,65.79,64.77,20,20,37.38,47.45,45.94,62.42,60.88,30.9,34.79,33.9,47.39,65.99,50.42
RNASEL,47.82,42.66,32.15,98.08,44.93,45.02,50.7,28.71,24.54,32.39,36.76,20,32.29,20,36.76,38.62,20,33.61,66.27,26.66,20,20,22.5,32.05,104.1,20,32.7,36.44,30.83,42.67,40.77,52.97,30.92,20,20.42,24.31,36.85,46.33,44.3,36.79,20,28.57,72.67,93.81,82.94,58.8,33.21,27.25,53.79,39.97,40.57,28.46,20,24.15,20,35.27,32.62,38.45,35.97,20,20.87,20,33.67,61.44,20,20,23.48,20,25.81,52.57,39.1,74.13,38.1,26.86,20,20,38.13,32.71,21.09,21.88,20,20.25,21.67,20,20,20,37.55,42.5,31.04,20,20,45.81,20,20,20,78.86,60.21,40.57,28.09,20,27.81,35.04,40.5,46.59,28.2,22.85,20,32.95,20,48.2,21.79,20,23.85,41.36,41.59,20,20,34.65,20,20,39.54,38.02,20,39.39,20,32.96,38.93,45.76,26.4,20
ROCK2,64.15,89.44,79.72,120.28,87.82,84.27,96.83,72.16,56.63,66.52,119.04,84.24,50.06,37.5,67.87,68.85,59.93,78.01,114.62,57.92,32.33,42.38,41.04,57.94,117.42,64.18,55.72,55.97,72.39,74.68,88.12,121.63,72.15,64.04,31.24,46.51,62.12,91.69,110.14,71.36,27.32,52.09,168.96,153.8,93.3,58.8,46.2,45.42,66.44,99.92,82.83,56.91,54.69,43.7,50.98,104.65,100.38,76.89,62.95,35.97,56.98,47.45,74.43,98.68,41.95,54.63,39.74,41.04,36.87,46.44,57.15,76.68,42.33,39.4,38.06,20,44.49,48.53,30.12,40.71,32.88,29.53,30.34,25.77,41.14,30.61,30.33,45.95,40.7,37.31,42.36,41.51,89.45,31.13,31.85,54.86,50.34,91.29,53.29,43.11,27.81,36.83,42.3,67.43,45.74,45.7,47.55,39.02,44.66,61.97,35.73,38.37,46.67,58.39,47.26,70.72,41.22,45.31,20,20,51.85,50.69,45.4,31.04,42.67,33.87,40.18,58.83,48.14,47.5
RORC,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.66,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.49,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
RPS6KA5,73.49,70.18,86.15,57.37,40.85,49.64,72.72,52.76,71.74,67.4,56.02,38.29,41.98,37.5,65.04,78.92,46.61,60.01,78.8,30.34,41.97,55.87,66.3,56.71,71.42,43.42,33.92,52.06,53.62,65.53,78.92,49.04,35.61,58.85,46.05,40.17,86.33,73.35,39.51,20,34.77,40.33,65.41,65.45,20,66,40.43,56.32,87.54,55.51,59.17,29.51,20,62.1,46.9,99.94,80.3,50.38,35.97,38.45,54.73,74.57,70,20,23.18,42.63,58.4,55.6,65.13,87.62,86.23,84.35,66.67,83.28,42.82,20,59.92,68.58,38.16,51.39,65.12,59.06,63.94,53.88,57.9,67.55,53.44,56.29,59.32,74.62,84.71,101.63,53.67,43.03,56.46,87.43,70.08,68.47,54.01,77.6,54.42,66.48,67.5,56.4,54.88,75.41,57.73,46.83,73.69,59.21,66.23,55.37,61.19,84.34,66.17,64.14,73.61,42.64,58.93,74.77,93.15,61.78,42.56,75.2,33.84,92.47,81.62,73.54,69.1,59.92
RRAD,20,34.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.66,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
